"math.3"	"math.1"	"gender"	"social.class"	"school.id"	"normal.score.3"	"normal.score.1"
"1"	39	36	"boy"	"nonmanual"	"1"	1.802743	1.551093
"2"	11	19	"girl"	"manual"	"1"	-2.29074	-0.98033
"3"	32	31	"girl"	"manual"	"1"	-0.04132	0.638187
"4"	27	23	"girl"	"nonmanual"	"1"	-0.74993	-0.45987
"5"	36	39	"girl"	"nonmanual"	"1"	0.743105	2.149517
"6"	33	25	"boy"	"manual"	"1"	0.162541	-0.18176
"7"	30	27	"boy"	"manual"	"1"	-0.37163	0.072369
"8"	17	14	"boy"	"manual"	"1"	-1.63037	-1.52304
"9"	33	30	"boy"	"manual"	"1"	0.162541	0.454143
"10"	20	19	"boy"	"manual"	"1"	-1.40267	-0.98033
"11"	13	11	"boy"	"nonmanual"	"1"	-2.05545	-2.04142
"12"	25	19	"boy"	"manual"	"1"	-0.8897	-0.98033
"13"	27	29	"girl"	"manual"	"1"	-0.74993	0.315018
"14"	21	22	"boy"	"nonmanual"	"1"	-1.29576	-0.58831
"15"	30	21	"boy"	"manual"	"1"	-0.37163	-0.72731
"16"	27	19	"girl"	"nonmanual"	"1"	-0.74993	-0.98033
"17"	22	17	"boy"	"manual"	"1"	-1.17746	-1.20903
"18"	16	11	"boy"	"manual"	"1"	-1.68477	-2.04142
"19"	20	14	"girl"	"manual"	"1"	-1.40267	-1.52304
"20"	27	19	"girl"	"nonmanual"	"2"	-0.74993	-0.98033
"21"	37	30	"boy"	"nonmanual"	"2"	1.061502	0.454143
"22"	28	24	"girl"	"manual"	"2"	-0.65516	-0.3277
"23"	37	34	"boy"	"nonmanual"	"2"	1.061502	1.170603
"24"	19	14	"girl"	"manual"	"2"	-1.48051	-1.52304
"25"	37	33	"girl"	"manual"	"3"	1.061502	0.988715
"26"	39	34	"girl"	"manual"	"3"	1.802743	1.170603
"27"	37	37	"boy"	"nonmanual"	"3"	1.061502	1.794068
"28"	35	32	"girl"	"manual"	"3"	0.516121	0.817817
"29"	33	23	"boy"	"manual"	"3"	0.162541	-0.45987
"30"	37	33	"boy"	"manual"	"3"	1.061502	0.988715
"31"	37	24	"boy"	"manual"	"3"	1.061502	-0.3277
"32"	32	18	"girl"	"manual"	"3"	-0.04132	-1.10483
"33"	22	31	"boy"	"manual"	"3"	-1.17746	0.638187
"34"	36	29	"girl"	"manual"	"3"	0.743105	0.315018
"35"	15	28	"boy"	"manual"	"3"	-1.76065	0.19052
"36"	37	28	"boy"	"manual"	"3"	1.061502	0.19052
